Figure_2A | d_inf (dimensionless),Figure_2A | V (millivolt)
0.00288502,-48.84
0.00288886,-48.83
0.0028927,-48.82
0.00289655,-48.81
0.00290041,-48.8
0.00290426,-48.79
0.00290813,-48.78
0.002912,-48.77
0.00291587,-48.76
0.00291975,-48.75
0.00292363,-48.74
0.00292752,-48.73
0.00293142,-48.72
0.00293532,-48.71
0.00293922,-48.7
0.00294313,-48.69
0.00294705,-48.68
0.00295097,-48.67
0.00295489,-48.66
0.00295882,-48.65
0.00296276,-48.64
0.0029667,-48.63
0.00297065,-48.62
0.0029746,-48.61
0.00297856,-48.6
0.00298252,-48.59
0.00298649,-48.58
0.00299046,-48.57
0.00299444,-48.56
0.00299842,-48.55
0.00300241,-48.54
0.0030064,-48.53
0.0030104,-48.52
0.00301441,-48.51
0.00301842,-48.5
0.00302243,-48.49
0.00302645,-48.48
0.00303048,-48.47
0.00303451,-48.46
0.00303854,-48.45
0.00304259,-48.44
0.00304663,-48.43
0.00305069,-48.42
0.00305474,-48.41
0.00305881,-48.4
0.00306288,-48.39
0.00306695,-48.38
0.00307103,-48.37
0.00307511,-48.36
0.0030792,-48.35
0.0030833,-48.34
0.0030874,-48.33
0.00309151,-48.32
0.00309562,-48.31
0.00309974,-48.3
0.00310386,-48.29
0.00310799,-48.28
0.00311212,-48.27
0.00311626,-48.26
0.00312041,-48.25
0.00312456,-48.24
0.00312871,-48.23
0.00313287,-48.22
0.00313704,-48.21
0.00314121,-48.2
0.00314539,-48.19
0.00314957,-48.18
0.00315376,-48.17
0.00315796,-48.16
0.00316216,-48.15
0.00316636,-48.14
0.00317058,-48.13
0.00317479,-48.12
0.00317901,-48.11
0.00318324,-48.1
0.00318748,-48.09
0.00319172,-48.08
0.00319596,-48.07
0.00320021,-48.06
0.00320447,-48.05
0.00320873,-48.04
0.003213,-48.03
0.00321727,-48.02
0.00322155,-48.01
0.00322583,-48
0.00323012,-47.99
0.00323442,-47.98
0.00323872,-47.97
0.00324303,-47.96
0.00324734,-47.95
0.00325166,-47.94
0.00325598,-47.93
0.00326031,-47.92
0.00326465,-47.91
0.00326899,-47.9
0.00327334,-47.89
0.00327769,-47.88
0.00328205,-47.87
0.00328641,-47.86
0.00329078,-47.85
0.00329516,-47.84
0.00329954,-47.83
0.00330393,-47.82
0.00330832,-47.81
0.00331272,-47.8
0.00331713,-47.79
0.00332154,-47.78
0.00332596,-47.77
0.00333038,-47.76
0.00333481,-47.75
0.00333924,-47.74
0.00334368,-47.73
0.00334813,-47.72
0.00335258,-47.71
0.00335704,-47.7
0.0033615,-47.69
0.00336597,-47.68
0.00337045,-47.67
0.00337493,-47.66
0.00337942,-47.65
0.00338391,-47.64
0.00338841,-47.63
0.00339292,-47.62
0.00339743,-47.61
0.00340195,-47.6
0.00340647,-47.59
0.003411,-47.58
0.00341553,-47.57
0.00342008,-47.56
0.00342462,-47.55
0.00342918,-47.54
0.00343374,-47.53
0.0034383,-47.52
0.00344287,-47.51
0.00344745,-47.5
0.00345204,-47.49
0.00345662,-47.48
0.00346122,-47.47
